Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
HNU_conservative_1;Senos Konserbatos;;;;;;;;;;;;;
HNU_conservative_3;Datos Konserbatos;;;;;;;;;;;;;
HNU_conservative_2;Nobvo Bundo Konserbatos;;;;;;;;;;;;;
HNU_reactionary_1;Datos Patrikos;;;;;;;;;;;;;
HNU_reactionary_2;Ekstremofodeliros;;;;;;;;;;;;;
HNU_liberal;Bundo Liberale;;;;;;;;;;;;;
HNU_anarcho_liberal;Datas Radikalas;;;;;;;;;;;;;
HNU_socialist;Bundo Komuna;;;;;;;;;;;;;
HNU_communist;Bundo Komuna Miletekos;;;;;;;;;;;;;
HNU_fascist;Bundo Fakes Goto-Wandal;;;;;;;;;;;;;
FRN_conservative_1;Parti Traditionaliste;;;;;;;;;;;;;
FRN_conservative_3;Parti de l'Unité;;;;;;;;;;;;;
FRN_conservative_2;Union Chrétienne;;;;;;;;;;;;;
FRN_reactionary_1;Noblesse Impériale;;;;;;;;;;;;;
FRN_reactionary_2;Parti du Cerf;;;;;;;;;;;;;
FRN_liberal;Parti Libéral;;;;;;;;;;;;;
FRN_anarcho_liberal;Nouveaux Radicaux;;;;;;;;;;;;;
FRN_socialist;Avant-Utopique;;;;;;;;;;;;;
FRN_communist;Jeune Frankes;;;;;;;;;;;;;
FRN_fascist;Frankia Renaissante;;;;;;;;;;;;;
PHO_conservative_0;Le Parti Gibelins;;;;;;;;;;;;;
PHO_conservative_1;Les Conservateurs;;;;;;;;;;;;;
PHO_reactionary;Parti d'Exclusion Cathais;;;;;;;;;;;;;
PHO_liberal_0;Les Autonomistes;;;;;;;;;;;;;
PHO_liberal_1;Parti Perfectionniste;;;;;;;;;;;;;
PHO_liberal_2;Parti Anticlérical;;;;;;;;;;;;;
PHO_anarcho_liberal;Parti Laïque;;;;;;;;;;;;;
PHO_socialist;F.D.T.P.;;;;;;;;;;;;;
PHO_communist;Faction Terre Brillante;;;;;;;;;;;;;
PHO_fascist;Le Grand Parti Chinois;;;;;;;;;;;;;
WTL_conservative_0;Ilor Tjumbhiratos;;;;;;;;;;;;;
WTL_conservative_1;Fazjor Optimatos;;;;;;;;;;;;;
WTL_reactionary;Ilos Patricjos;;;;;;;;;;;;;
WTL_liberal_0;Ilos Teporos;;;;;;;;;;;;;
WTL_liberal_1;Fazjor Liberalis;;;;;;;;;;;;;
WTL_anarcho_liberal;Fazjor Chommunistis;;;;;;;;;;;;;
WTL_socialist;Fazjor Operaljos;;;;;;;;;;;;;
WTL_communist;Nobhar Fazjor Operaljos;;;;;;;;;;;;;
WTL_fascist;Fazjor Fasces Rhomanos;;;;;;;;;;;;;
TAR_conservative_0;Pfrinkisses;;;;;;;;;;;;;
TAR_conservative_1;Facyo Conservasse;;;;;;;;;;;;;
TAR_reactionary;Ultra-Pfrinkisses;;;;;;;;;;;;;
TAR_liberal_0;Anricolisses;;;;;;;;;;;;;
TAR_liberal_1;Facyo Giberale;;;;;;;;;;;;;
TAR_anarcho_liberal;Gles Communisses;;;;;;;;;;;;;
TAR_socialist;Facyo Fabres;;;;;;;;;;;;;
TAR_communist;Facyo Operalyes;;;;;;;;;;;;;
TAR_fascist;Tsewdya Renazyo;;;;;;;;;;;;;
GAL_fascist;Facyo Yuro Calicya;;;;;;;;;;;;;
GAL_reactionary;Bonde Mayrnallo;;;;;;;;;;;;;
GAL_reactionary_1;Glos Clericos;;;;;;;;;;;;;
GAL_reactionary_2;Ressorazyos;;;;;;;;;;;;;
GAL_conservative_0;Pfrovincalles;;;;;;;;;;;;;
GAL_conservative_1;Facyo dos Tauros;;;;;;;;;;;;;
