Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
annex_tupiland_title;Abolish the Tupi Protectorates;;;;;;;;;;;;;
annex_tupiland_desc;x;;;;;;;;;;;;;
contact_ambassadors_title;Contact Imperial Ambassadors;;;;;;;;;;;;;
contact_ambassadors_desc;x;;;;;;;;;;;;;
address_imperial_diet_title;Address the Imperial Diet;;;;;;;;;;;;;
address_imperial_diet_desc;x;;;;;;;;;;;;;
join_empire_title;Do Hommage to the Frankish Emperor;;;;;;;;;;;;;
join_empire_desc;x;;;;;;;;;;;;;
leave_empire_title;Break the Imperial Seal;;;;;;;;;;;;;
leave_empire_desc;x;;;;;;;;;;;;;
