Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME50001;The Nuvo Ostia Confrence of $YEAR$;;;;;;;;;;;;;
EVTDESC50001;The recent military defeats our country has suffered, and the broad restriction of our ability to project power civically and militarily has led to some worrying developments in the Territories of the Land of St. Marc, our colonial territories in Lothaire. The various small roman states and towns in Lothaire, or, in the Roman Tongue, Lottario, are largely in the hands of the slaveowning aristocracy, who have largely been loyal to us since the founding of Quinticampa in 1588, and managed the cotton production that fed the spindles of Milan and Torin. However, citing disruptions with our government, it seems that a collection of upstart barons and generals have assembles in Nuvo Ostia, on the eastern coast of St. Marc’s land, to proclaim a new confederacy of Lottario “for mutual protection and security”. We lack at the moment to bring these trumped up colonial assemblies to heel, and will have to abide for the time being greater self governance in colonial Lothaire. ;;;;;;;;;;;;;
EVTNAME49999;Independence for $COUNTRY$?!;;;;;;;;;;;;;
EVTDESC49999;x;;;;;;;;;;;;;
EVTNAME49998;$FROMCOUNTRY$ Declares Independence!;;;;;;;;;;;;;
EVTDESC49998;The traitorous dogs in $FROMCOUNTRY$, who, having some years ago organised for themselves a degree of autonomous self-government, have now had the audacity to declare their formal independence. Doubtless, this bold and illegal action has been spurred on by some impudent great power meddling in our colonial empire. The colonial department and the foreign office are eager to launch a military expedition across the seas to bring these colonial upstarts back into line, but the military and the navy question the feasibility of mobilising the country against these states. They suggest our populace will likely be slow to accept the burdens of such a large undertaking, and that the divergent cultures of our colonies and we would make occupation both unstable overseas and unpopular at home. Nonetheless, the nationalist press are cranking out reams of broadsheets demanding our national dignity be upheld, and certainly we would seem weak internationally to let go without a fight.;;;;;;;;;;;;;
EVTNAME49997;The Tenostsktitlos Confrence of $YEAR$;;;;;;;;;;;;;
EVTDESC49997;The recent military defeats our country has suffered, and the broad restriction of our ability to project power civically and militarily has led to some worrying developments in the Viceroyalty of Vandalia. The Viceroyalty, settled in the early 1500s, was the earliest large European colony in the new world, and for many years was the jewel of our empire. The territory of the viceroyalty contracted somewhat in the late 1600s when the Amorican Company, chartered by the Frankish emperor, began picking off the various sugar colonies associated with the Viceroyalty, but it still remains a powerful and prosperous area, which makes the pronouncements of the so called "Conference of Tenostsktitlos" so troubling. A number of influential colonial landholders, military figures, clerics, and philosophers have apparently passed a number of resolutions forming a variety of nearly independent organs of self-government and military defence. This marks, everyone agrees, an alarming diminution of our power in this region.;;;;;;;;;;;;;
EVTNAME49996;Independence for $COUNTRY$?!;;;;;;;;;;;;;
EVTDESC49996;x;;;;;;;;;;;;;
EVTNAME49994;empty;;;;;;;;;;;;;
EVTDESC49994;x;;;;;;;;;;;;;
EVTNAME49993;Addressing the Court;;;;;;;;;;;;;
EVTDESC49993;x;;;;;;;;;;;;;
EVTNAME49992;Addressing the Diet;;;;;;;;;;;;;
EVTDESC49992;x;;;;;;;;;;;;;
EVTNAME49991;$FROMCOUNTRY$ Requests Imperial Protection;;;;;;;;;;;;;
EVTDESC49991;x;;;;;;;;;;;;;
EVTNAME49990;$FROMCOUNTRY$ Refuses to Protect Us;;;;;;;;;;;;;
EVTDESC49990;x;;;;;;;;;;;;;
EVTNAME49989;$FROMCOUNTRY$ Submits to the Emperor;;;;;;;;;;;;;
EVTDESC49989;x;;;;;;;;;;;;;
EVTNAME49988;AI ONLY;;;;;;;;;;;;;
EVTDESC49988;x;;;;;;;;;;;;;
EVTNAME49987;AI ONLY;;;;;;;;;;;;;
EVTDESC49987;x;;;;;;;;;;;;;
EVTNAME49986;$FROMCOUNTRY$ Leaves the Empire;;;;;;;;;;;;;
EVTDESC49986;x;;;;;;;;;;;;;
EVTNAME49985;The Nobafrican Confence of $YEAR$;;;;;;;;;;;;;
EVTDESC49985;x;;;;;;;;;;;;;
EVTNAME49984;The Constituional Congress of $YEAR$;;;;;;;;;;;;;
EVTDESC49984;x;;;;;;;;;;;;;
EVTNAME49983;The Constituional Congress of $YEAR$;;;;;;;;;;;;;
EVTDESC49983;x;;;;;;;;;;;;;
EVTNAME49982;Discontent in Reconquered Colonies;;;;;;;;;;;;;
EVTDESC49982;x;;;;;;;;;;;;;
EVTNAME49981;A Kateko in the Highest Office of State?;;;;;;;;;;;;;
EVTDESC49981;x;;;;;;;;;;;;;
