Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;;
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;;
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;;
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;;
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;;
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;;
gtfo_MNP_title;Grant Manipur Independence;;;;;;;;;;;;;
gtfo_MNP_desc;We can no longer maintain our rulership of Manipur, considering the developing political situation.;;;;;;;;;;;;;
gtfo_BDK_title;Grant Badakhshan Independence;;;;;;;;;;;;;
gtfo_BDK_desc;We can no longer maintain our rulership of Badakhshan, considering the developing political situation.;;;;;;;;;;;;;
gtfo_PGG_title;Grant Pingnan Guo Independence;;;;;;;;;;;;;
gtfo_PGG_desc;We can no longer maintain our rulership of Pingnan Guo, considering the developing political situation.;;;;;;;;;;;;;
gtfo_SGM_title;Grant Sigmaringen Independence;;;;;;;;;;;;;
gtfo_SGM_desc;We can no longer maintain our rulership of Sigmaringen, considering the developing political situation.;;;;;;;;;;;;;
gtfo_NMB_title;Grant Namibia Independence;;;;;;;;;;;;;
gtfo_NMB_desc;We can no longer maintain our rulership of Namibia, considering the developing political situation.;;;;;;;;;;;;;
gtfo_TMR_title;Grant Timor Independence;;;;;;;;;;;;;
gtfo_TMR_desc;We can no longer maintain our rulership of Timor, considering the developing political situation.;;;;;;;;;;;;;
gtfo_SLG_title;Grant Selangor Independence;;;;;;;;;;;;;
gtfo_SLG_desc;We can no longer maintain our rulership of Selangor, considering the developing political situation.;;;;;;;;;;;;;
gtfo_PRK_title;Grant Perak Independence;;;;;;;;;;;;;
gtfo_PRK_desc;We can no longer maintain our rulership of Perak, considering the developing political situation.;;;;;;;;;;;;;
gtfo_PHG_title;Grant Pahang Independence;;;;;;;;;;;;;
gtfo_PHG_desc;We can no longer maintain our rulership of Pahang, considering the developing political situation.;;;;;;;;;;;;;
gtfo_FRO_title;Grant Faroe Independence;;;;;;;;;;;;;
gtfo_FRO_desc;We can no longer maintain our rulership of Faroe, considering the developing political situation.;;;;;;;;;;;;;
