Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
KRS;Königreich Sachsen;;;;;;;;;;;;;
KRS_ADJ;Sächsisch;;;;;;;;;;;;;
TEU;Teutonia;;;;;;;;;;;;;
TEU_ADJ;Teutonic;;;;;;;;;;;;;
RTH;Ruthenia;;;;;;;;;;;;;
RTH_ADJ;Ruthenian;;;;;;;;;;;;;
WTL;Witlia;;;;;;;;;;;;;
WTL_ADJ;Witlian;;;;;;;;;;;;;
AEG;Aegypt;;;;;;;;;;;;;
AEG_ADJ;Aegyptian;;;;;;;;;;;;;
HNU;Hispania-Numidia;;;;;;;;;;;;;
HNU_ADJ;Hispanic;;;;;;;;;;;;;
FRK;Frankia;;;;;;;;;;;;;
FRK_ADJ;Frankish;;;;;;;;;;;;;
PRS;Mihranian Empire;;;;;;;;;;;;;
PRS_ADJ;Mihranian;;;;;;;;;;;;;
ANT;Anatolija;;;;;;;;;;;;;
ANT_ADJ;Anatolijan;;;;;;;;;;;;;
SCL;Sclavenia;;;;;;;;;;;;;
SCL_ADJ;Sclavenian;;;;;;;;;;;;;
WND;Wendia;;;;;;;;;;;;;
WND_ADJ;Wendish;;;;;;;;;;;;;
KPD;Kingdom of Poland;;;;;;;;;;;;;
KPD_ADJ;Polish;;;;;;;;;;;;;
BYR;Byeloruthenia;;;;;;;;;;;;;
BYR_ADJ;Byeloruthenian;;;;;;;;;;;;;
TEM;Temarundia;;;;;;;;;;;;;
TEM_ADJ;Temarundian;;;;;;;;;;;;;
LTT;Lettland;;;;;;;;;;;;;
LTT_ADJ;Lettlandish;;;;;;;;;;;;;
KUR;Kuringia;;;;;;;;;;;;;
KUR_ADJ;Kuringian;;;;;;;;;;;;;
PNN;Pannonia;;;;;;;;;;;;;
PNN_ADJ;Pannonian;;;;;;;;;;;;;
VLC;Vlachia;;;;;;;;;;;;;
VLC_ADJ;Vlach;;;;;;;;;;;;;
CRP;Carpathia;;;;;;;;;;;;;
CRP_ADJ;Carpathian;;;;;;;;;;;;;
NTR;Nitra;;;;;;;;;;;;;
NTR_ADJ;Nitravian;;;;;;;;;;;;;
BLA;Blatnohrad;;;;;;;;;;;;;
BLA_ADJ;Blatnohradish;;;;;;;;;;;;;
KRJ;Karantanija;;;;;;;;;;;;;
KRJ_ADJ;Karantanijan;;;;;;;;;;;;;
GPD;Gepidia;;;;;;;;;;;;;
GPD_ADJ;Gepidian;;;;;;;;;;;;;
VLT;Veletia;;;;;;;;;;;;;
VLT_ADJ;Veletian;;;;;;;;;;;;;
KRK;Krasnukral;;;;;;;;;;;;;
KRK_ADJ;Krasni;;;;;;;;;;;;;
MVA;Mirvoda;;;;;;;;;;;;;
MVA_ADJ;Mirvodan;;;;;;;;;;;;;
