Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV869;Smyrna;;;;;;;;;;;;;x
PROV1745;Leontopolis;;;;;;;;;;;;;x
PROV1745;Tamiathis;;;;;;;;;;;;;x
PROV1755;Pelusium;;;;;;;;;;;;;x
PROV1747;Naukratis;;;;;;;;;;;;;x
PROV1748;Qantir;;;;;;;;;;;;;x
PROV1763;Philadephia;;;;;;;;;;;;;x
PROV1749;Soteropolis;;;;;;;;;;;;;x
PROV1764;Hermopolis;;;;;;;;;;;;;x
PROV1762;Lycopolis;;;;;;;;;;;;;x
PROV2559;Abydos;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
PROV869;Smyrna;;;;;;;;;;;;;x
